Date,Day
2015-01-01,New Year Day
2015-01-06,Epiphany
2015-04-03,Good Friday
2015-04-05,Easter Day
2015-04-06,Easter Monday
2015-05-01,May Day
2015-05-14,Ascension Day
2015-05-24,Pentecost Day
2015-06-06,Swedish National Day and the Swedish Flag's Day
2015-06-20,Midsummer Day
2015-10-31,All Saint's Day
2015-12-25,Christmas Day
2015-12-26,Boxing Day
2016-01-01,New Year Day
2016-01-06,Epiphany
2016-03-25,Good Friday
2016-03-27,Easter Day
2016-03-28,Easter Monday
2016-05-01,May Day
2016-05-05,Ascension Day
2016-05-15,Pentecost Day
2016-06-06,Swedish National Day and the Swedish Flag's Day
2016-06-25,Midsummer Day
2016-11-05,All Saints' Day
2016-12-25,Christmas Day
2016-12-26,Boxing Day
2017-01-01,New Year Day
2017-01-06,Epiphany
2017-04-14,Good Friday
2017-04-16,Easter Day
2017-04-17,Easter Monday
2017-05-01,May Day
2017-05-25,Ascension Day
2017-06-04,Pentecost Day
2017-06-06,Swedish National Day and the Swedish Flag's Day
2017-06-24,Midsummer Day
2017-11-04,All Saints' Day
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2018-01-01,New Year Day
2018-01-06,Epiphany
2018-03-30,Good Friday
2018-04-01,Easter Day
2018-04-02,Easter Monday
2018-05-01,May Day
2018-05-10,Ascension Day
2018-05-20,Pentecost Day
2018-06-06,Swedish National Day and the Swedish Flag's Day
2018-06-23,Midsummer Day
2018-11-03,All Saints' Day
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2019-01-01,New Year Day
2019-01-06,Epiphany
2019-04-19,Good Friday
2019-04-21,Easter Day
2019-04-22,Easter Monday
2019-05-01,May Day
2019-05-30,Ascension Day
2019-06-06,Swedish National Day and the Swedish Flag's Day
2019-06-09,Pentecost Day
2019-06-22,Midsummer Day
2019-11-02,All Saints' Day
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2020-01-01,New Year Day
2020-01-06,Epiphany
2020-04-10,Good Friday
2020-04-12,Easter Day
2020-04-13,Easter Monday
2020-05-01,May Day
2020-05-21,Ascension Day
2020-05-31,Pentecost Day
2020-06-06,Swedish National Day and the Swedish Flag's Day
2020-06-20,Midsummer Day
2020-10-31,All Saint's Day
2020-12-25,Christmas Day
2020-12-26,Boxing Day
2021-01-01,New Year Day
2021-01-06,Epiphany
2021-04-02,Good Friday
2021-04-04,Easter Day
2021-04-05,Easter Monday
2021-05-01,May Day
2021-05-13,Ascension Day
2021-05-23,Pentecost Day
2021-06-06,Swedish National Day and the Swedish Flag's Day
2021-06-26,Midsummer Day
2021-11-06,All Saints' Day
2021-12-25,Christmas Day
2021-12-26,Boxing Day
2022-01-01,New Year Day
2022-01-06,Epiphany
2022-04-15,Good Friday
2022-04-17,Easter Day
2022-04-18,Easter Monday
2022-05-01,May Day
2022-05-26,Ascension Day
2022-06-05,Pentecost Day
2022-06-06,Swedish National Day and the Swedish Flag's Day
2022-06-25,Midsummer Day
2022-11-05,All Saints' Day
2022-12-25,Christmas Day
2022-12-26,Boxing Day
2023-01-01,New Year Day
2023-01-06,Epiphany
2023-04-07,Good Friday
2023-04-09,Easter Day
2023-04-10,Easter Monday
2023-05-01,May Day
2023-05-18,Ascension Day
2023-05-28,Pentecost Day
2023-06-06,Swedish National Day and the Swedish Flag's Day
2023-06-24,Midsummer Day
2023-11-04,All Saints' Day
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-01-01,New Year Day
2024-01-06,Epiphany
2024-03-29,Good Friday
2024-03-31,Easter Day
2024-04-01,Easter Monday
2024-05-01,May Day
2024-05-09,Ascension Day
2024-05-19,Pentecost Day
2024-06-06,Swedish National Day and the Swedish Flag's Day
2024-06-22,Midsummer Day
2024-11-02,All Saints' Day
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2025-01-01,New Year Day
2025-01-06,Epiphany
2025-04-18,Good Friday
2025-04-20,Easter Day
2025-04-21,Easter Monday
2025-05-01,May Day
2025-05-29,Ascension Day
2025-06-06,Swedish National Day and the Swedish Flag's Day
2025-06-08,Pentecost Day
2025-06-21,Midsummer Day
2025-11-01,All Saints' Day
2025-12-25,Christmas Day
2025-12-26,Boxing Day
